kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq
8330548,FALSE POSITIVE,1.914158508,134.644919,3.2917,7829.2,13.63,1646.0
8374494,FALSE POSITIVE,5.251916208,357.321883,4.9095,10624.3,37.15,952.0
8414907,FALSE POSITIVE,100.3039228,277.0607,8.702,5450.0,29.55,313.0
8414907,FALSE POSITIVE,200.61103346,456.84444,7.13,,,
8397446,FALSE POSITIVE,0.986620248,448.5959,3.9722,1345.8,43.98,2308.0
3442055,CONFIRMED,29.6193891,133.68205,4.9595,314.7,1.74,580.0
4043190,CONFIRMED,6.40087137,136.8824,2.5561,133.6,1.91,1109.0
3640905,CONFIRMED,30.1599411,138.51774,7.874,175.9,4.54,836.0
3640905,CONFIRMED,51.0771048,152.35694,11.233,141.5,3.66,702.0
6613006,FALSE POSITIVE,7.388833611,133.9344039,5.62857,13063.5,10.66,877.0
6606653,FALSE POSITIVE,2.698021895,136.32786,23.192,6721.2,52.51,1582.0
10925104,CONFIRMED,8.041347775,143.038292,2.6332,591.0,1.29,507.0
10538176,CONFIRMED,37.5142128,189.30015,5.303,935.0,2.68,478.0
10858691,CONFIRMED,1.796320953,133.33662,1.9139,210.9,1.2,1367.0
10858691,CONFIRMED,3.468073,136.00831,2.361,243.9,1.29,1098.0
8972058,CONFIRMED,8.99088621,136.73923,4.2447,469.7,2.78,960.0
10858691,CONFIRMED,5.9142668,133.49193,2.661,253.2,1.31,919.0
10858691,CONFIRMED,29.2214959,139.32807,4.014,394.0,1.81,539.0
10973814,CONFIRMED,44.8520997,172.46196,3.5729,780.8,3.35,513.0
10713616,CONFIRMED,83.5781976,202.45865,7.2487,630.8,6.63,655.0
10963242,CONFIRMED,6.1469956,135.07385,3.3153,249.6,2.04,1164.0
8972058,CONFIRMED,2.403640701,134.73065,1.4012,74.9,1.24,1489.0
10785538,FALSE POSITIVE,0.522457732,133.751976,0.8907,143.8,1.52,2308.0
10585852,CONFIRMED,8.57504983,140.14063,8.653,160.6,4.26,1374.0
10928043,CANDIDATE,6.84639884,133.76181,3.4919,149.7,1.9,1132.0
10794087,CONFIRMED,7.64970832,138.33113,6.625,55.4,1.43,1144.0
4079535,FALSE POSITIVE,17.72724392,356.795528,4.1073,16878.0,14.77,741.0
6631721,CANDIDATE,13.73808249,134.43787,3.354,660.7,3.84,912.0
4076098,CONFIRMED,3.990105908,355.840837,2.4108,6154.9,7.45,1124.0
4551328,FALSE POSITIVE,0.52205862,133.138446,2.0847,1381.3,27.16,2022.0
4282872,CONFIRMED,10.035381809,137.471481,3.4062,2829.7,4.42,786.0
4639868,FALSE POSITIVE,53.100942624,135.9717179,2.2868,19981.1,24.02,464.0
4274548,CANDIDATE,6.80082032,359.17999,1.9883,699.9,1.88,697.0
5084942,CONFIRMED,3.105507835,133.210427,1.7458,904.6,2.68,980.0
4455231,CONFIRMED,19.30581662,373.18998,4.2902,709.1,4.0,815.0
4455231,CONFIRMED,6.09747233,354.05919,3.431,217.6,2.22,1197.0
4455231,CONFIRMED,56.637918,135.51975,6.172,589.7,3.68,570.0
4285107,FALSE POSITIVE,2.243016513,133.45086,2.721,299.6,1.37,1167.0
4150624,FALSE POSITIVE,8.6531216,134.30147,4.39,654.8,22.58,772.0
8107380,CONFIRMED,14.00640392,142.20885,4.6919,716.4,3.11,807.0
4077526,CONFIRMED,4.45814897,134.39743,2.867,188.1,1.61,1212.0
4243911,CONFIRMED,1.922799706,134.50174,1.8604,259.7,1.28,1215.0
4466677,CONFIRMED,3.222975318,178.0701,2.9247,232.7,1.47,1239.0
4466677,CANDIDATE,42.0370662,178.25006,6.282,266.8,1.66,527.0
4466677,CANDIDATE,21.0112068,132.6336,4.507,163.6,1.4,663.0
4135665,CONFIRMED,4.16811839,134.89621,2.8084,263.0,2.28,1277.0
11446443,CONFIRMED,2.470613377,122.763305,1.74319,14230.9,13.04,1339.0
10666592,CONFIRMED,2.204735417,121.3585417,3.88864,6674.7,16.1,2048.0
11913073,FALSE POSITIVE,3.747838198,171.66504,5.0642,616.0,13.65,1031.0
10984090,CONFIRMED,3.709214104,133.98318,2.6302,131.1,1.16,1206.0
10265898,CONFIRMED,1.260258822,170.408984,1.8594,1130.7,3.57,1569.0
10265898,CANDIDATE,3.29534567,132.48799,1.902,141.9,1.23,1139.0
10265898,CONFIRMED,5.25449393,132.55624,3.078,169.0,1.41,975.0
10272442,CANDIDATE,70.2780911,151.32941,2.466,781.6,2.54,434.0
10287242,CANDIDATE,22.34213536,171.55939,6.461,2264.4,5.19,526.0
6721123,FALSE POSITIVE,7.36178958,132.25053,5.022,233.7,39.21,1342.0
10340423,CONFIRMED,18.79418506,177.79426,3.2906,1529.0,2.33,412.0
10340423,CONFIRMED,6.73893544,135.28218,2.813,601.3,1.44,579.0
10345478,FALSE POSITIVE,14.49839316,182.679596,3.7343,3271.1,5.16,607.0
10358759,CONFIRMED,10.3392408,170.38549,3.075,1184.6,2.98,777.0
